Time,Channel A
(ms),(V)

0.00000000,0.00061037
0.00032000,0.00061037
0.00064000,0.00061037
0.00096000,0.00061037
0.00128000,0.00061037
0.00160000,0.00061037
0.00192000,0.00061037
0.00224000,0.00061037
0.00256000,0.00061037
0.00288000,0.00061037
0.00320000,0.00061037
0.00352000,0.00061037
0.00384000,0.00061037
0.00416000,0.00061037
0.00448000,0.00061037
0.00480000,0.00061037
0.00512000,0.00061037
0.00544000,0.00061037
0.00576000,0.00061037
0.00608000,0.08972442
0.00640000,0.00061037
0.00672000,0.00061037
0.00704000,0.00061037
0.00736000,0.00061037
0.00768000,0.00061037
0.00800000,0.00061037
0.00832000,0.00061037
0.00864000,0.00061037
0.00896000,0.00061037
0.00928000,0.00061037
0.00960000,0.00061037
0.00992000,0.00061037
0.01024000,0.00061037
0.01056000,0.00061037
0.01088000,0.00061037
0.01120000,0.00061037
0.01152000,0.00061037
0.01184000,0.00061037
0.01216000,0.00061037
0.01248000,0.00061037
0.01280000,0.00061037
0.01312000,0.00061037
0.01344000,0.00061037
0.01376000,0.00061037
0.01408000,0.00061037
0.01440000,0.00061037
0.01472000,0.00061037
0.01504000,0.00061037
0.01536000,0.00061037
0.01568000,0.00061037
0.01600000,0.00061037
0.01632000,0.00061037
0.01664000,0.00061037
0.01696000,0.00061037
0.01728000,0.00061037
0.01760000,0.00061037
0.01792000,0.00061037
0.01824000,0.00061037
0.01856000,0.00061037
0.01888000,0.00061037
0.01920000,0.00061037
0.01952000,0.00061037
0.01984000,0.00061037
0.02016000,0.00061037
0.02048000,0.00061037
0.02080000,0.00061037
0.02112000,0.00061037
0.02144000,0.00061037
0.02176000,0.00061037
0.02208000,0.00061037
0.02240000,0.00061037
0.02272000,0.00061037
0.02304000,0.00061037
0.02336000,0.00061037
0.02368000,0.00061037
0.02400000,0.00061037
0.02432000,0.00061037
0.02464000,0.00061037
0.02496000,0.00061037
0.02528000,0.00061037
0.02560000,0.00061037
0.02592000,0.00061037
0.02624000,0.00061037
0.02656000,0.00061037
0.02688000,0.00061037
0.02720000,0.00061037
0.02752000,0.00061037
0.02784000,0.00061037
0.02816000,0.00061037
0.02848000,0.00061037
0.02880000,0.00061037
0.02912000,0.00061037
0.02944000,0.00061037
0.02976000,0.00061037
0.03008000,0.00061037
0.03040000,0.00061037
0.03072000,0.00061037
0.03104000,0.00061037
0.03136000,0.00061037
0.03168000,0.00061037
0.03200000,0.00061037
0.03232000,0.00061037
0.03264000,0.00061037
0.03296000,0.00061037
0.03328000,0.00061037
0.03360000,0.00061037
0.03392000,0.00061037
0.03424000,0.00061037
0.03456000,0.00061037
0.03488000,0.00061037
0.03520000,0.00061037
0.03552000,0.00061037
0.03584000,0.00061037
0.03616000,0.00061037
0.03648000,0.00061037
0.03680000,0.00061037
0.03712000,0.00061037
0.03744000,0.00061037
0.03776000,0.00061037
0.03808000,0.00061037
0.03840000,0.00061037
0.03872000,0.00061037
0.03904000,0.00061037
0.03936000,0.00061037
0.03968000,0.00061037
0.04000000,0.00061037
0.04032000,0.00061037
0.04064000,0.00061037
