Time,Channel A
(ms),(V)

0.00000000,-1.42521400
0.00032000,-1.42521400
0.00064000,-1.42521400
0.00096000,-1.51432800
0.00128000,-1.51432800
0.00160000,-1.51432800
0.00192000,-1.42521400
0.00224000,-1.51432800
0.00256000,-1.42521400
0.00288000,-1.51432800
0.00320000,-1.51432800
0.00352000,-1.51432800
0.00384000,-1.51432800
0.00416000,-1.51432800
0.00448000,-1.51432800
0.00480000,-1.51432800
0.00512000,-1.42521400
0.00544000,-1.42521400
0.00576000,-1.42521400
0.00608000,-1.51432800
0.00640000,-1.51432800
0.00672000,-1.51432800
0.00704000,-1.51432800
0.00736000,-1.51432800
0.00768000,-1.42521400
0.00800000,-1.51432800
0.00832000,-1.42521400
0.00864000,-1.42521400
0.00896000,-1.51432800
0.00928000,-1.51432800
0.00960000,-1.51432800
0.00992000,-1.51432800
0.01024000,-1.51432800
0.01056000,-1.51432800
0.01088000,-1.51432800
0.01120000,-1.51432800
0.01152000,-1.51432800
0.01184000,-1.51432800
0.01216000,-1.51432800
0.01248000,-1.42521400
0.01280000,-1.51432800
0.01312000,-1.42521400
0.01344000,-1.51432800
0.01376000,-1.51432800
0.01408000,-1.51432800
0.01440000,-1.42521400
0.01472000,-1.51432800
0.01504000,-1.51432800
0.01536000,-1.51432800
0.01568000,-1.42521400
0.01600000,-1.42521400
0.01632000,-1.51432800
0.01664000,-1.42521400
0.01696000,-1.51432800
0.01728000,-1.42521400
0.01760000,-1.51432800
0.01792000,-1.42521400
0.01824000,-1.51432800
0.01856000,-1.42521400
0.01888000,-1.51432800
0.01920000,-1.42521400
0.01952000,-1.51432800
0.01984000,-1.42521400
0.02016000,-1.42521400
0.02048000,-1.51432800
0.02080000,-1.42521400
0.02112000,-1.51432800
0.02144000,-1.51432800
0.02176000,-1.51432800
0.02208000,-1.51432800
0.02240000,-1.42521400
0.02272000,-1.42521400
0.02304000,-1.51432800
0.02336000,-1.42521400
0.02368000,-1.51432800
0.02400000,-1.42521400
0.02432000,-1.51432800
0.02464000,-1.42521400
0.02496000,-1.42521400
0.02528000,-1.42521400
0.02560000,-1.42521400
0.02592000,-1.51432800
0.02624000,-1.51432800
0.02656000,-1.51432800
0.02688000,-1.51432800
0.02720000,-1.42521400
0.02752000,-1.51432800
0.02784000,-1.42521400
0.02816000,-1.51432800
0.02848000,-1.51432800
0.02880000,-1.42521400
0.02912000,-1.42521400
0.02944000,-1.51432800
0.02976000,-1.51432800
0.03008000,-1.42521400
0.03040000,-1.51432800
0.03072000,-1.51432800
0.03104000,-1.51432800
0.03136000,-1.51432800
0.03168000,-1.51432800
0.03200000,-1.51432800
0.03232000,-1.51432800
0.03264000,-1.51432800
0.03296000,-1.51432800
0.03328000,-1.51432800
0.03360000,-1.51432800
0.03392000,-1.51432800
0.03424000,-1.42521400
0.03456000,-1.51432800
0.03488000,-1.42521400
0.03520000,-1.51432800
0.03552000,-1.51432800
0.03584000,-1.42521400
0.03616000,-1.51432800
0.03648000,-1.51432800
0.03680000,-1.51432800
0.03712000,-1.51432800
0.03744000,-1.51432800
