Time,Channel A
(ms),(V)

0.00000000,-9.26755600
0.00032000,-9.26755600
0.00064000,-9.26755600
0.00096000,-9.26755600
0.00128000,-9.26755600
0.00160000,-9.26755600
0.00192000,-9.26755600
0.00224000,-9.26755600
0.00256000,-9.35666900
0.00288000,-9.35666900
0.00320000,-9.26755600
0.00352000,-9.26755600
0.00384000,-9.26755600
0.00416000,-9.26755600
0.00448000,-9.35666900
0.00480000,-9.26755600
0.00512000,-9.26755600
0.00544000,-9.26755600
0.00576000,-9.26755600
0.00608000,-9.26755600
0.00640000,-9.35666900
0.00672000,-9.35666900
0.00704000,-9.26755600
0.00736000,-9.26755600
0.00768000,-9.26755600
0.00800000,-9.26755600
0.00832000,-9.26755600
0.00864000,-9.26755600
0.00896000,-9.26755600
0.00928000,-9.26755600
0.00960000,-9.26755600
0.00992000,-9.26755600
0.01024000,-9.26755600
0.01056000,-9.26755600
0.01088000,-9.26755600
0.01120000,-9.26755600
0.01152000,-9.26755600
0.01184000,-9.26755600
0.01216000,-9.26755600
0.01248000,-9.26755600
0.01280000,-9.26755600
0.01312000,-9.26755600
0.01344000,-9.26755600
0.01376000,-9.26755600
0.01408000,-9.26755600
0.01440000,-9.26755600
0.01472000,-9.26755600
0.01504000,-9.26755600
0.01536000,-9.26755600
0.01568000,-9.26755600
0.01600000,-9.26755600
0.01632000,-9.26755600
0.01664000,-9.26755600
0.01696000,-9.26755600
0.01728000,-9.26755600
0.01760000,-9.26755600
0.01792000,-9.26755600
0.01824000,-9.35666900
0.01856000,-9.26755600
0.01888000,-9.26755600
0.01920000,-9.26755600
0.01952000,-9.26755600
0.01984000,-9.35666900
0.02016000,-9.26755600
0.02048000,-9.26755600
0.02080000,-9.26755600
0.02112000,-9.26755600
0.02144000,-9.26755600
0.02176000,-9.26755600
0.02208000,-9.35666900
0.02240000,-9.26755600
0.02272000,-9.26755600
0.02304000,-9.26755600
0.02336000,-9.26755600
0.02368000,-9.26755600
0.02400000,-9.26755600
0.02432000,-9.26755600
0.02464000,-9.26755600
0.02496000,-9.26755600
0.02528000,-9.26755600
0.02560000,-9.26755600
0.02592000,-9.26755600
0.02624000,-9.26755600
0.02656000,-9.26755600
0.02688000,-9.26755600
0.02720000,-9.26755600
0.02752000,-9.26755600
0.02784000,-9.26755600
0.02816000,-9.26755600
0.02848000,-9.26755600
0.02880000,-9.26755600
0.02912000,-9.26755600
0.02944000,-9.26755600
0.02976000,-9.26755600
0.03008000,-9.26755600
0.03040000,-9.26755600
0.03072000,-9.26755600
0.03104000,-9.26755600
0.03136000,-9.26755600
0.03168000,-9.26755600
0.03200000,-9.26755600
0.03232000,-9.35666900
0.03264000,-9.26755600
0.03296000,-9.26755600
0.03328000,-9.26755600
0.03360000,-9.26755600
0.03392000,-9.26755600
0.03424000,-9.26755600
0.03456000,-9.26755600
0.03488000,-9.26755600
0.03520000,-9.26755600
0.03552000,-9.26755600
0.03584000,-9.26755600
0.03616000,-9.26755600
0.03648000,-9.26755600
0.03680000,-9.26755600
0.03712000,-9.26755600
0.03744000,-9.26755600
